Region ,Dead,Lon,Lat
Mediterranean,4.00,27.0274,37.4694
Mediterranean,1.00,29.6027,36.1734
Mediterranean,2.00,26.2440,38.4323
Mediterranean,3.00,29.5893,36.1754
Mediterranean,1.00,26.4802,39.4469
Mediterranean,4.00,27.4311,36.9642
Mediterranean,4.00,-5.9162,35.9913
Mediterranean,1.00,27.0016,36.9301
Mediterranean,1.00,26.4946,37.5860
Mediterranean,4.00,27.2543,36.9257
Mediterranean,4.00,26.4914,37.5800
Mediterranean,1.00,27.0711,36.5694
Mediterranean,1.00,27.0711,36.5694
Mediterranean,36.00,26.6954,39.3190
Mediterranean,1.00,26.9956,37.4729
Mediterranean,1.00,26.8735,37.7875
Mediterranean,1.00,26.4914,37.5800
Mediterranean,1.00,26.1750,39.3648
Mediterranean,3.00,26.4605,39.4857
Mediterranean,1.00,18.3650,39.7781
Mediterranean,1.00,26.1914,37.5703
Mediterranean,3.00,26.4047,39.6011
Mediterranean,1.00,27.0853,37.2878
Mediterranean,3.00,27.1672,37.4832
Mediterranean,4.00,26.4895,39.4992
Mediterranean,6.00,27.0411,37.7324
Mediterranean,1.00,26.9380,37.6921
Mediterranean,1.00,26.4822,37.5765
Mediterranean,2.00,26.2892,38.3257
Mediterranean,20.00,26.7812,39.0890
Mediterranean,2.00,26.5058,37.5663
Mediterranean,1.00,26.9605,37.7561
Mediterranean,1.00,26.6986,37.7981
Mediterranean,2.00,26.3263,37.6591
Mediterranean,1.00,26.9833,36.9500
Mediterranean,11.00,27.2610,37.8104
Mediterranean,1.00,14.8159,36.1797
Mediterranean,1.00,26.5051,37.5822
Mediterranean,2.00,-5.3729,35.9165
Mediterranean,1.00,27.0284,37.7579
Mediterranean,4.00,26.5079,37.5515
Mediterranean,2.00,27.0003,37.7073
Mediterranean,5.00,26.5759,39.1966
Mediterranean,4.00,27.2201,37.1190
Mediterranean,18.00,27.3436,36.9413
Mediterranean,2.00,26.5200,39.2070
Mediterranean,1.00,-3.2816,36.7443
Mediterranean,11.00,13.7755,32.8457
Mediterranean,7.00,27.4082,37.0024
Mediterranean,10.00,14.9785,33.8027
Mediterranean,30.00,12.5448,32.8055
Mediterranean,28.00,14.0117,35.0712
Mediterranean,1.00,27.2877,36.8915
Mediterranean,1.00,27.3633,36.5044
Mediterranean,4.00,27.0866,37.2856
Mediterranean,11.00,26.9603,37.7518
Mediterranean,1.00,26.4522,38.3575
Mediterranean,1.00,26.3834,39.2762
Mediterranean,3.00,26.9721,37.4578
Mediterranean,1.00,26.1765,39.3708
Mediterranean,1.00,26.3841,39.2810
Mediterranean,3.00,26.4233,39.2730
Mediterranean,1.00,26.3862,39.2741
Mediterranean,4.00,26.3889,39.2799
Mediterranean,1.00,26.3883,39.2741
Mediterranean,1.00,26.9721,37.4578
Mediterranean,7.00,-3.9318,35.2446
Mediterranean,3.00,28.2175,36.4350
Mediterranean,<Null>,26.9778,37.7548
Mediterranean,8.00,17.1646,40.3347
Mediterranean,1.00,26.9808,36.9523
Mediterranean,4.00,26.5927,39.4701
Mediterranean,2.00,26.3903,39.2698
Mediterranean,3.00,26.9778,37.7548
Mediterranean,3.00,26.3924,39.2746
Mediterranean,19.00,26.9808,36.9523
Mediterranean,1.00,26.9808,36.9523
Mediterranean,1.00,26.4095,39.2773
Mediterranean,1.00,26.9778,37.7548
